Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Dill Pickle,2oz,582,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Dill Pickle,2oz,404,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Dill Pickle,2oz,614,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Dill Pickle,2oz,509,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Dill Pickle,2oz,1158,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Dill Pickle,2oz,728,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Dill Pickle,2oz,1037,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Dill Pickle,2oz,1002,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Dill Pickle,2oz,968,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Dill Pickle,2oz,743,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Dill Pickle,2oz,861,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Dill Pickle,2oz,651,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Dill Pickle,2oz,806,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Dill Pickle,2oz,568,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Dill Pickle,2oz,486,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Dill Pickle,2oz,931,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Dill Pickle,2oz,1002,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Dill Pickle,2oz,1044,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/10,Dill Pickle,2oz,990,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/10,Dill Pickle,2oz,1356,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/10,Dill Pickle,2oz,845,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/10,Dill Pickle,2oz,1012,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/10,Dill Pickle,2oz,822,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/10,Dill Pickle,2oz,1430,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,Dill Pickle,2oz,903,,,,,,,,,,,,,,,,,,,,,,,,,
